k,inercia,silhueta
2,66117.0370505698,0.1922949490554454
3,58353.210032826115,0.20256348224460133
4,52791.329168991455,0.1669327646322321
5,49412.58468381064,0.1489074683101962
6,45555.0523380768,0.15278403968224152
7,43125.06737074201,0.1425697345397562
8,41345.604505835894,0.1369122934394321
