iter,n_resources,mean_test_score,std_test_score,rank_test_score,param_clf__l2_regularization,param_clf__learning_rate,param_clf__max_depth,param_clf__max_leaf_nodes,param_clf__min_samples_leaf
0,20,,,22,0.03148911647956861,0.262516606324193,6,86,208
0,20,,,22,0.24400607090817547,0.06689135590392836,6,89,107
0,20,,,22,0.02161894240657444,0.029447905545150106,6,36,328
0,20,,,22,7.579479953348009,0.19057174434080473,4,78,463
0,20,,,22,0.00541524411940254,0.0455875904753014,12,122,364
0,20,,,22,0.014618962793704957,0.10486361783805698,4,106,207
0,20,,,22,0.029204338471814112,0.06877172495876586,6,122,74
0,20,,,22,8.568869785189005,0.0707922563040456,12,65,154
0,20,,,22,0.004809461967501573,0.02385264834812575,8,103,335
0,20,,,22,0.17912362571043663,0.05679563707774165,4,67,405
0,20,,,22,0.5456725485601477,0.06587027797781973,8,22,450
0,20,,,22,0.004936948694960458,0.057670399245517284,4,118,407
0,20,,,22,0.017654048052495083,0.08178571400096163,4,18,329
0,20,,,22,0.0013342990285187936,0.19571934636682564,8,48,221
0,20,,,22,3.7958531426706403,0.10097524940480988,8,76,315
0,20,,,22,2.38855581786886,0.15133753118542448,12,38,429
0,20,,,22,7.261414516028836,0.1035041273903399,12,55,176
0,20,,,22,1.6172900811143154,0.024474191622376084,,102,148
0,20,,,22,0.0062353771356731605,0.020301330868858616,6,95,411
0,20,,,22,0.8241925264876453,0.16147835210764008,12,120,250
0,20,,,22,0.4020759548749851,0.23829014001867058,,86,287
0,20,,,22,0.021066486017042207,0.023756388334765528,12,113,191
0,20,,,22,0.35500125258511606,0.2210411580079628,,113,120
0,20,,,22,7.70634382560738,0.19926458730882204,12,104,274
0,20,,,22,0.01057482748276609,0.022314316407262117,4,56,399
0,20,,,22,0.0027012557725439087,0.021776776116226245,,66,115
0,20,,,22,0.6054305695862117,0.02916731831509449,12,29,190
0,20,,,22,0.006490003020716538,0.2569874047433389,6,100,303
0,20,,,22,5.233480488540088,0.17842401600508806,,20,303
0,20,,,22,1.6394127471631603,0.0331477008755603,6,106,492
0,20,,,22,0.018707420137660268,0.02694393996460293,,41,465
0,20,,,22,0.001004804353322319,0.05196167542783432,6,117,217
0,20,,,22,0.11040511903162252,0.06193603906540262,12,111,326
0,20,,,22,0.011957746304562956,0.038738597063757575,6,46,115
0,20,,,22,0.1707685960990951,0.05970052998322248,,72,71
0,20,,,22,0.009716374629919693,0.1318096978815099,6,127,120
0,20,,,22,0.013783578294796388,0.022101024805882247,,16,149
0,20,,,22,0.044070507657925036,0.021872613243709878,,15,422
0,20,,,22,0.5282284718122492,0.08422819971676791,4,46,217
0,20,,,22,0.009294394155644996,0.1234589951518742,6,70,142
1,60,0.5,0.0,2,0.029204338471814112,0.06877172495876586,6,122,74
1,60,0.5,0.0,2,8.568869785189005,0.0707922563040456,12,65,154
1,60,0.5,0.0,2,0.004809461967501573,0.02385264834812575,8,103,335
1,60,0.5,0.0,2,0.17912362571043663,0.05679563707774165,4,67,405
1,60,0.5,0.0,2,0.5456725485601477,0.06587027797781973,8,22,450
1,60,0.5,0.0,2,0.004936948694960458,0.057670399245517284,4,118,407
1,60,0.5,0.0,2,0.017654048052495083,0.08178571400096163,4,18,329
1,60,0.5,0.0,2,0.0013342990285187936,0.19571934636682564,8,48,221
1,60,0.5,0.0,2,3.7958531426706403,0.10097524940480988,8,76,315
1,60,0.5,0.0,2,2.38855581786886,0.15133753118542448,12,38,429
1,60,0.5,0.0,2,7.261414516028836,0.1035041273903399,12,55,176
1,60,0.5,0.0,2,1.6172900811143154,0.024474191622376084,,102,148
1,60,0.5,0.0,2,0.5282284718122492,0.08422819971676791,4,46,217
1,60,0.5,0.0,2,0.009294394155644996,0.1234589951518742,6,70,142
2,180,0.5,0.0,2,2.38855581786886,0.15133753118542448,12,38,429
2,180,0.5,0.0,2,7.261414516028836,0.1035041273903399,12,55,176
2,180,0.5,0.0,2,1.6172900811143154,0.024474191622376084,,102,148
2,180,0.5,0.0,2,0.5282284718122492,0.08422819971676791,4,46,217
2,180,0.5,0.0,2,0.009294394155644996,0.1234589951518742,6,70,142
3,540,0.6385236395620781,0.05311660526719373,1,0.009294394155644996,0.1234589951518742,6,70,142
3,540,0.5,0.0,2,0.5282284718122492,0.08422819971676791,4,46,217
